vendor_name,on_time_delivery_rate,average_delivery_delay_days,defect_rate,cancellation_rate,return_rate,compliance_score,order_volume,average_order_value,quote_rejection_rate,payment_delay_rate,historical_penalty_count,risk_label
Delta Solutions 4490,0.845962804735675,12,0.03168648864942716,0.0924731125254838,0.07330545499314971,83.18258172007053,836,335004,0.07903055451664129,0.13096155356390157,5,medium
Pulsar Logistics 9234,0.5136783455540525,20,0.25042218673368977,0.14510064794345287,0.125453193245367,57.82911669304464,85,4291,0.16460785272458822,0.15024067847672315,17,high
Peak Partners 2162,0.7641499566484904,15,0.14515488903238047,0.19003266776540229,0.1906246352460452,43.26067895159807,1326,102505,0.3332280492509669,0.18093034975952282,10,high
Delta Resources 2607,0.7141160916250956,4,0.04846844778746282,0.08901174696564958,0.06813853672445458,69.07087288181947,825,179550,0.1657651605402251,0.12702077962009706,3,medium
Quantum Industries 3445,0.7524307750361421,4,0.09067848976155347,0.014221346144523653,0.11427116492532279,63.3175972179228,1361,70146,0.15403273382550484,0.1325254196983421,6,medium
Cobalt Systems 306,0.7658098371508875,5,0.07897889870599184,0.11075810117379578,0.1298079313758413,64.38674516736073,1838,2999,0.2031597541018472,0.11071052732945712,3,medium
Pulsar Enterprises 1001,0.7436928020420528,10,0.07647378273150454,0.08056166647623245,0.09236770156478728,64.66321228312808,2609,287694,0.11333226315053843,0.11290250557014192,8,medium
Apex Networks 7484,0.7999506852696804,11,0.059588068871777505,0.036986297634545716,0.1239349782562403,75.54245716533114,111,207635,0.0726980058185287,0.11985626248947241,8,medium
Atlas Logistics 1469,0.6293727174261647,16,0.09417802304555889,0.15476598183400536,0.10125646609486404,44.20011179039825,1638,1000,0.303695761337966,0.1923542004536791,17,high
Atlas Manufacturing 6979,0.9991590744205889,1,0.009036737134863658,0.03046433034179233,0.016271505669906275,95.20153695401133,1235,481078,0.030459979298708965,0.003915405803203128,3,low
Onyx Supplies 1470,0.6382826240658258,32,0.11187026616639273,0.21758140149858612,0.29651735885560665,52.504554090255475,583,129215,0.29415898750729497,0.24239610317863083,3,high
Cobalt Solutions 806,0.8732999701622752,2,0.004527692583105852,0.038936105763930876,0.04002617667165794,98.32806604930047,1778,358981,0.03930683562874991,0.0,2,low
Alpha Manufacturing 8654,0.7866013455969063,5,0.09158978263969775,0.1179903109102501,0.14336438453320643,80.2452051408816,990,149516,0.07510495570060866,0.08485102176863384,6,medium
Prime Networks 8984,0.36226184928877847,38,0.5035527457145308,0.3230020972072272,0.3219558792678809,31.16630404081123,447,73508,0.48668062699950543,0.39262310361889463,47,critical
Quantum Industries 6696,0.19144671574311742,31,0.4737286340281774,0.49227333909850296,0.3099316171403601,42.480282123171634,430,82426,0.5113009056489746,0.5238841083193073,34,critical
Nova Supplies 4220,0.5766884507097367,21,0.17941600416301656,0.13658371406226696,0.17926668706489274,41.11145687917437,1787,151216,0.32024719834498105,0.18417937137012533,17,high
Peak Trading 2744,0.8379911352813992,1,0.024356562609109997,0.019861050023390028,0.006611334242199324,81.28394846217854,3551,271224,0.03257211728139568,0.012284413779062014,3,low
Zenith Group 3425,0.6430231988276691,37,0.19602287455962814,0.11296953607428083,0.1407816972357774,60.88315069729517,1880,164896,0.2437868164775384,0.28620613772679215,6,high
Pinnacle Manufacturing 3966,0.5608186601151974,32,0.24803506975951997,0.23502376180952206,0.24107820464445973,49.53237609195018,615,160174,0.16281492223613955,0.1935348043096961,11,high
Phoenix Corp 2713,0.9719093709996608,1,0.006787368663091336,0.013593043639040365,0.027544085451070784,81.78884523991968,2023,38962,0.030224830223231462,0.05071658948516542,2,low
Falcon Systems 3783,0.8873046390939431,13,0.045071429632347886,0.032422104609803486,0.06301315444451727,70.65857959129757,3034,1000,0.1368458473197831,0.0524666807992612,10,medium
Atlantic Materials 9983,0.8722534741869793,4,0.04599928103928763,0.04046539448095407,0.01107403887805629,84.9291793376555,2755,422979,0.06508814630290273,0.020341571169959344,2,low
Peak Global 9216,0.8974511081595541,5,0.03300429582028349,0.028843893177840595,0.01199746874081505,78.86686956509308,4660,368540,0.022481149597927727,0.014777441936838828,1,low
Pinnacle Partners 8073,0.7083564677690833,4,0.11075237451554647,0.09712570931867588,0.11895632901700315,61.497303664108316,3783,276779,0.1618414504364211,0.13081145931239624,3,medium
Peak Solutions 5744,0.9413661507660235,4,0.02348536525132178,0.021306670583503707,0.04822635655444911,79.50809479432625,2163,110227,0.07907793408865055,0.03235668632741953,3,low
